time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.2963,0.00313536,-0.190771,1.9896,0.628606,174.468
1.29973,0.00313536,0,1.9896,0,-183.375
1.30451,0.0027318,-0.0845126,1.99094,0.278959,58.4202
1.30757,0.0027318,0,1.99094,0,-90.9759
1.31218,0.0027318,0,1.99094,0,0
1.31563,0.00283126,0.0289012,1.99061,-0.095441,-27.7356
1.31952,0.00283126,0,1.99061,0,24.5017
1.32369,0.00283126,0,1.99061,0,0
1.32977,0.0030456,0.0352711,1.9899,-0.116423,-19.1578
1.33343,0.0030456,0,1.9899,0,31.7664
1.3358,0.00352409,0.202477,1.98832,-0.667575,-282.487
1.34291,0.00352409,0,1.98832,0,93.8121
1.34664,0.00352409,0,1.98832,0,0
1.34886,0.00397266,0.201631,1.98684,-0.663809,-298.383
1.35306,0.00397266,0,1.98684,0,158.248
1.35581,0.00460557,0.230018,1.98477,-0.75587,-274.703
1.36184,0.00460557,0,1.98477,0,125.35
1.36531,0.00460557,0,1.98477,0,0
1.36806,0.00515635,0.200426,1.98296,-0.65734,-239.206
1.37313,0.00515635,0,1.98296,0,129.647
1.37613,0.0058658,0.236145,1.98064,-0.772915,-257.268
1.38009,0.0058658,0,1.98064,0,195.28
1.38373,0.00647258,0.166559,1.97865,-0.543946,-149.311
1.38819,0.00647258,0,1.97865,0,122.03
1.3943,0.00647258,0,1.97865,0,0
1.3964,0.0072311,0.361158,1.97618,-1.17681,-560.323
1.39978,0.0072311,0,1.97618,0,347.818
1.40341,0.0072311,0,1.97618,0,0
1.4077,0.00764993,0.0974918,1.97482,-0.317082,-73.8075
1.4124,0.00764993,0,1.97482,0,67.4856
1.41532,0.00748003,-0.058318,1.97537,0.189623,65.0901
1.41945,0.00748003,0,1.97537,0,-45.8989
1.4242,0.00748003,0,1.97537,0,0
1.42813,0.00702486,-0.115895,1.97685,0.377132,96.0242
1.43243,0.00702486,0,1.97685,0,-87.6833
1.43567,0.00620425,-0.253062,1.97953,0.825233,254.487
1.43958,0.00620425,0,1.97953,0,-211.157
1.44352,0.00543552,-0.195388,1.98204,0.638832,162.371
1.44775,0.00543552,0,1.98204,0,-150.964
1.45362,0.00543552,0,1.98204,0,0
1.45583,0.00449012,-0.42743,1.98514,1.40153,633.658
1.4599,0.00449012,0,1.98514,0,-345.04
1.46341,0.00449012,0,1.98514,0,0
1.46779,0.0036532,-0.191183,1.9879,0.628697,143.617
1.47331,0.00267575,-0.176925,1.99112,0.583592,-8.16424
1.47573,0.00267575,0,1.99112,0,-241.421
1.47964,0.00267575,0,1.99112,0,0
1.48357,0.00267575,0,1.99112,0,0
1.48758,0.00204196,-0.158346,1.99322,0.523678,130.835
1.49278,0.00204196,0,1.99322,0,-100.617
1.49546,0.00196811,-0.0275296,1.99346,0.0911838,33.9897
1.49959,0.00196811,0,1.99346,0,-22.102
1.50354,0.00201413,0.0116548,1.99331,-0.0386102,-9.77738
1.50749,0.00201413,0,1.99331,0,9.75911
1.51243,0.00201413,0,1.99331,0,0
1.51572,0.00232668,0.0950289,1.99227,-0.314462,-95.6106
