time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.17,-28.0369744725738,0.472033772151899,0,0,0,-0.0606353637130802,1.97664483122363,0,0,0,0,0.0973890609704641,0.00863285,0.00722925514705902,1.97163,-0.0234240227941183,-0.626465882353225
1.18,-28.0241915,0.47131633,0,0,0,-0.059971284,1.9760321,0,0,0,0,0.104784695,0.00846775,0,1.97217,0,-37.2802079439263
1.19,-27.9966754385965,0.469819859649123,0,0,0,-0.0584202947368421,1.97511807017544,0,0,0,0,0.114011333333333,0.00830986,-0.018227250000001,1.97268,0.0590905000000033,-1.2985999999984
1.2,-27.9862417266187,0.46926918705036,0,0,0,-0.0578021589928058,1.97490474820144,0,0,0,0,0.115780417266187,0.00798783,-0.00579452819383322,1.97372,0.0187993832599139,-51.5783905286334
1.21,-27.9582720164609,0.467833724279835,0,0,0,-0.056128687654321,1.9747070781893,0,0,0,0,0.119596444444444,0.00771438,-0.0365559214437379,1.97461,0.118726390658178,6.54258067940741
1.22,-27.9453698979592,0.467188602040816,0,0,0,-0.0553335489795918,1.97471806122449,0,0,0,0,0.120216459183673,0.00729657,0,1.97597,0,-94.7992768079832
1.23,-27.9197352272727,0.465940068181818,0,0,0,-0.0537575681818182,1.97482625,0,0,0,0,0.121715511363636,0.00694367,-0.0501349294117656,1.97712,0.163226213235297,18.8115147058835
1.24,-27.9074109311741,0.465357056680162,0,0,0,-0.0529789477732794,1.97491307692308,0,0,0,0,0.121216943319838,0.00645117,-0.0142375652173952,1.97872,0.0464170434782735,-115.839582608688
1.25,-27.8792192307692,0.464061692307692,0,0,0,-0.0512372269230769,1.97521692307692,0,0,0,0,0.122215461538462,0.00603136,-0.0693266737739873,1.9801,0.226348081023455,29.3728260127934
1.26,-27.86649,0.4634922,0,0,0,-0.05043847,1.975393,0,0,0,0,0.1221172,0.00546043083916084,-0.00261829836829814,1.98196682983683,0.00857748251748176,-139.176421911422
1.27,-27.8423695652174,0.462442826086957,0,0,0,-0.0489491434782609,1.97580826086957,0,0,0,0,0.123119217391304,0.00498951,0,1.98351,0,-63.7345959183667
1.28,-27.8329,0.462043,0,0,0,-0.0483187,1.97599,0,0,0,0,0.120891,0.00436545,-0.0533953548387065,1.98555,0.175239870967731,-88.7324193548458
1.29,-27.8005118367347,0.460712036734694,0,0,0,-0.0463260428571428,1.9767732244898,0,0,0,0,0.122701444897959,0.0038227,-0.0714002429149786,1.98734,0.234779210526312,17.0466655870428
1.3,-27.7882628117914,0.46022012244898,0,0,0,-0.0456285931972789,1.97711646258503,0,0,0,0,0.100023501133787,0.00311256476987448,-0.00477372426778229,1.98967569037657,0.0157570983263594,-169.717112133892
1.31,-27.760335,0.459049525,0,0,0,-0.0449248675,1.977992,0,0,0,0,0.0142381797499997,0.0027318,0,1.99094,0,-43.0211414316673
1.32,-27.747931773399,0.458505610837438,0,0,0,-0.044909428817734,1.97837874384236,0,0,0,0,-0.0075077810098528,0.00283126,0,1.99061,0,21.6813604316545
1.33,-27.7234684,0.457398528,0,0,0,-0.0451828172,1.97909352,0,0,0,0,-0.0338064714000001,0.0030456,0.0330546101092879,1.9899,-0.109106800546443,-15.9576453551888
1.34,-27.7126,0.456894909090909,0,0,0,-0.0454116727272727,1.97938909090909,0,0,0,0,-0.0395627909090913,0.00352409,0.082870333333333,1.98832,-0.273226898734176,-60.2006118143454
1.35,-27.6853230769231,0.455605615384615,0,0,0,-0.0460304237762238,1.97993461538462,0,0,0,0,-0.0517936384615385,0.00397266,0.146902585714279,1.98684,-0.483632271428548,-174.440299999984
1.36,-27.6748,0.455097,0,0,0,-0.0463526,1.98011,0,0,0,0,-0.0519433,0.00460557,0.070187913764505,1.98477,-0.230646898839119,3.27744278607975
1.37,-27.6435023121387,0.453555529865125,0,0,0,-0.0472177269749519,1.98040614643545,0,0,0,0,-0.0579245766859344,0.00515635,0.123734394477314,1.98296,-0.405813451676517,-98.0669822485143
1.38,-27.6293549618321,0.452847147582697,0,0,0,-0.0476479798982188,1.98046300254453,0,0,0,0,-0.0584418127226463,0.0058658,0.00536693181819053,1.98064,-0.0175662500000285,184.994818181801
1.39,-27.6044176470588,0.451582090909091,0,0,0,-0.0483920748663101,1.98027409982175,0,0,0,0,-0.0602285552584671,0.00647258,0,1.97865,0,85.8803600654695
