time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
1.12,-28.14257574257426,0.4785650816831683,0.0,0.0,0.0,-0.061222328960396054,1.983168514851485,0.0,0.0,0.0,0.0,-0.06078156089108922
1.13,-28.116141832669324,0.47685402390438253,0.0,0.0,0.0,-0.062043963745019894,1.9819121513944224,0.0,0.0,0.0,0.0,-0.061137280478087835
1.14,-28.103808421052634,0.4760532421052632,0.0,0.0,0.0,-0.06235653789473684,1.9811495789473685,0.0,0.0,0.0,0.0,-0.03729313473684376
1.15,-28.075775965665237,0.4743019334763949,0.0,0.0,0.0,-0.06216970150214593,1.9791141630901288,0.0,0.0,0.0,0.0,0.04880564656652296
1.16,-28.063684810126585,0.4735791645569621,0.0,0.0,0.0,-0.06180215063291141,1.9782650632911394,0.0,0.0,0.0,0.0,0.06998466708860683
1.17,-28.036974472573842,0.47203377215189873,0.0,0.0,0.0,-0.060635363713080176,1.9766448312236287,0.0,0.0,0.0,0.0,0.09738906097046407
1.18,-28.0241915,0.47131633,0.0,0.0,0.0,-0.059971284,1.9760321,0.0,0.0,0.0,0.0,0.104784695
1.19,-27.99667543859649,0.4698198596491228,0.0,0.0,0.0,-0.05842029473684212,1.9751180701754387,0.0,0.0,0.0,0.0,0.11401133333333333
1.2,-27.986241726618704,0.46926918705035975,0.0,0.0,0.0,-0.05780215899280578,1.9749047482014388,0.0,0.0,0.0,0.0,0.11578041726618686
1.21,-27.958272016460906,0.4678337242798354,0.0,0.0,0.0,-0.05612868765432099,1.9747070781893004,0.0,0.0,0.0,0.0,0.11959644444444444
1.22,-27.945369897959182,0.4671886020408163,0.0,0.0,0.0,-0.05533354897959184,1.9747180612244897,0.0,0.0,0.0,0.0,0.12021645918367344
1.23,-27.919735227272728,0.4659400681818182,0.0,0.0,0.0,-0.053757568181818184,1.97482625,0.0,0.0,0.0,0.0,0.12171551136363637
1.24,-27.907410931174088,0.465357056680162,0.0,0.0,0.0,-0.05297894777327935,1.974913076923077,0.0,0.0,0.0,0.0,0.12121694331983808
1.25,-27.87921923076923,0.4640616923076923,0.0,0.0,0.0,-0.05123722692307694,1.9752169230769232,0.0,0.0,0.0,0.0,0.12221546153846158
1.26,-27.86649,0.46349219999999997,0.0,0.0,0.0,-0.050438469999999964,1.9753930000000002,0.0,0.0,0.0,0.0,0.12211720000000013
1.27,-27.84236956521739,0.4624428260869565,0.0,0.0,0.0,-0.048949143478260876,1.9758082608695653,0.0,0.0,0.0,0.0,0.12311921739130438
1.28,-27.8329,0.462043,0.0,0.0,0.0,-0.0483187,1.97599,0.0,0.0,0.0,0.0,0.120891
1.29,-27.800511836734692,0.46071203673469385,0.0,0.0,0.0,-0.04632604285714284,1.976773224489796,0.0,0.0,0.0,0.0,0.12270144489795912
1.3,-27.788262811791384,0.4602201224489796,0.0,0.0,0.0,-0.04562859319727892,1.9771164625850342,0.0,0.0,0.0,0.0,0.10002350113378725
1.31,-27.760335,0.45904952499999996,0.0,0.0,0.0,-0.0449248675,1.977992,0.0,0.0,0.0,0.0,0.01423817974999968
1.32,-27.747931773399017,0.4585056108374384,0.0,0.0,0.0,-0.04490942881773399,1.9783787438423646,0.0,0.0,0.0,0.0,-0.007507781009852797
1.33,-27.7234684,0.457398528,0.0,0.0,0.0,-0.0451828172,1.97909352,0.0,0.0,0.0,0.0,-0.03380647140000009
1.34,-27.712600000000002,0.4568949090909091,0.0,0.0,0.0,-0.045411672727272735,1.979389090909091,0.0,0.0,0.0,0.0,-0.039562790909091296
1.35,-27.685323076923076,0.45560561538461536,0.0,0.0,0.0,-0.046030423776223794,1.9799346153846156,0.0,0.0,0.0,0.0,-0.05179363846153847
1.36,-27.6748,0.455097,0.0,0.0,0.0,-0.0463526,1.98011,0.0,0.0,0.0,0.0,-0.0519433
1.37,-27.64350231213873,0.4535555298651252,0.0,0.0,0.0,-0.04721772697495185,1.9804061464354528,0.0,0.0,0.0,0.0,-0.05792457668593441
1.38,-27.62935496183206,0.45284714758269723,0.0,0.0,0.0,-0.047647979898218826,1.9804630025445293,0.0,0.0,0.0,0.0,-0.05844181272264625
1.39,-27.604417647058824,0.45158209090909096,0.0,0.0,0.0,-0.04839207486631014,1.980274099821747,0.0,0.0,0.0,0.0,-0.060228555258467126
1.4,-27.589704580152674,0.4508317150127227,0.0,0.0,0.0,-0.04876643740458014,1.979892900763359,0.0,0.0,0.0,0.0,-0.03403044936387167
1.41,-27.563232776617955,0.44954193319415453,0.0,0.0,0.0,-0.04859121482254698,1.9788170146137787,0.0,0.0,0.0,0.0,0.04715501503131464
1.42,-27.550597122302158,0.4489568896882494,0.0,0.0,0.0,-0.04821033669064749,1.9783402158273382,0.0,0.0,0.0,0.0,0.06951179664268554
1.43,-27.52360155210643,0.4477633813747229,0.0,0.0,0.0,-0.04703560465631932,1.9777800665188472,0.0,0.0,0.0,0.0,0.09728920665188442
1.44,-27.510661,0.44721537499999997,0.0,0.0,0.0,-0.046365167,1.97773745,0.0,0.0,0.0,0.0,0.10470331
1.45,-27.48334818763326,0.4461074562899787,0.0,0.0,0.0,-0.0448366929637527,1.9779368869936034,0.0,0.0,0.0,0.0,0.11392734541577824
1.46,-27.47124051282051,0.4456331641025641,0.0,0.0,0.0,-0.04412427282051281,1.9781011282051282,0.0,0.0,0.0,0.0,0.11623456923076932
1.47,-27.444186105263157,0.44461182526315796,0.0,0.0,0.0,-0.042497263368421086,1.9786403157894736,0.0,0.0,0.0,0.0,0.1195511936842106
1.48,-27.431639795918368,0.44414944897959185,0.0,0.0,0.0,-0.04181696530612245,1.9789676020408162,0.0,0.0,0.0,0.0,0.09459398724489833
1.49,-27.405224852071004,0.443133899408284,0.0,0.0,0.0,-0.04117326055226824,1.979799171597633,0.0,0.0,0.0,0.0,0.014621175917159314
1.5,-27.392241836734694,0.4426113112244898,0.0,0.0,0.0,-0.041159662755102036,1.9802261224489797,0.0,0.0,0.0,0.0,-0.008012126760203634
1.51,-27.3655132,0.441494176,0.0,0.0,0.0,-0.04148617920000001,1.9810664,0.0,0.0,0.0,0.0,-0.03532015040000014
1.52,-27.352735443037975,0.44094436708860757,0.0,0.0,0.0,-0.041748145569620254,1.9814313924050633,0.0,0.0,0.0,0.0,-0.04261957341772157
1.53,-27.32566651376147,0.4397557844036697,0.0,0.0,0.0,-0.04241238096330275,1.9821027981651376,0.0,0.0,0.0,0.0,-0.052094080733944954
1.54,-27.313293367346937,0.4392009846938775,0.0,0.0,0.0,-0.04275504413265306,1.9823619387755103,0.0,0.0,0.0,0.0,-0.054334698724489726
1.55,-27.287307407407408,0.4380184074074074,0.0,0.0,0.0,-0.043492877777777786,1.9827977777777779,0.0,0.0,0.0,0.0,-0.05804959259259257
1.56,-27.27361410579345,0.43738445340050375,0.0,0.0,0.0,-0.043910186901763223,1.9829764231738036,0.0,0.0,0.0,0.0,-0.05846202795969774
1.57,-27.24589431578947,0.4360773642105263,0.0,0.0,0.0,-0.04474954863157896,1.983215494736842,0.0,0.0,0.0,0.0,-0.05982203136842096
1.58,-27.234255752212388,0.4355201238938053,0.0,0.0,0.0,-0.04511123053097346,1.9832761946902655,0.0,0.0,0.0,0.0,-0.059906270796460215
1.59,-27.20629605263158,0.43416235087719296,0.0,0.0,0.0,-0.04597214868421054,1.98332,0.0,0.0,0.0,0.0,-0.06059493991228061
1.6,-27.1939387755102,0.43355383673469383,0.0,0.0,0.0,-0.046357136734693896,1.9832281632653062,0.0,0.0,0.0,0.0,-0.06067354897959198
1.61,-27.169261538461537,0.43232499999999996,0.0,0.0,0.0,-0.04711396783216784,1.9827603496503496,0.0,0.0,0.0,0.0,-0.06152475804195798
1.62,-27.15532176165803,0.43162719170984454,0.0,0.0,0.0,-0.0474904518134715,1.9823755958549223,0.0,0.0,0.0,0.0,-0.03869079404144967
1.63,-27.128234939759036,0.43033658032128513,0.0,0.0,0.0,-0.04734529738955824,1.9814703212851406,0.0,0.0,0.0,0.0,0.04591330401606391
1.64,-27.11491881188119,0.42973580198019806,0.0,0.0,0.0,-0.04694823663366339,1.9811349504950495,0.0,0.0,0.0,0.0,0.06954030198019695
1.65,-27.08831818181818,0.4285922314049587,0.0,0.0,0.0,-0.045796655785123985,1.9809164049586776,0.0,0.0,0.0,0.0,0.09699681528925601
1.66,-27.075499999999998,0.42806483333333334,0.0,0.0,0.0,-0.04513461515151517,1.9809516666666667,0.0,0.0,0.0,0.0,0.1043573939393937
1.67,-27.049250873786406,0.4270272834951457,0.0,0.0,0.0,-0.04367683825242723,1.981152718446602,0.0,0.0,0.0,0.0,0.11392737669902912
1.68,-27.040557894736843,0.4266935789473684,0.0,0.0,0.0,-0.04316037894736843,1.9812463157894737,0.0,0.0,0.0,0.0,0.10992014736842189
1.69,-27.00858627858628,0.4254187650727651,0.0,0.0,0.0,-0.042353684823284825,1.9817935966735967,0.0,0.0,0.0,0.0,0.011347756860707263
1.7,-26.996403325415677,0.4249099786223278,0.0,0.0,0.0,-0.042353493349168644,1.9820245843230404,0.0,0.0,0.0,0.0,-0.009286819002375372
1.71,-26.970979999999997,0.42381573333333333,0.0,0.0,0.0,-0.042661830000000005,1.9824883333333334,0.0,0.0,0.0,0.0,-0.03543496666666674
1.72,-26.957735999999997,0.42322947555555557,0.0,0.0,0.0,-0.04294174577777778,1.982708311111111,0.0,0.0,0.0,0.0,-0.04253974355555561
