time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.951615,-28.4655,0.497363,0,0,0,-0.0610158,1.9813,0,0,0,0,0.0733025
0.954705,-28.4655,0.497363,0,0,0,-0.0610158,1.9813,0,0,0,0,0.0733025
0.958798,-28.4655,0.497363,0,0,0,-0.0610158,1.9813,0,0,0,0,0.0733025
0.962815,-28.4457,0.496224,0,0,0,-0.0602358,1.98115,0,0,0,0,0.0980134
0.966906,-28.4457,0.496224,0,0,0,-0.0602358,1.98115,0,0,0,0,0.0980134
0.971601,-28.4259,0.495135,0,0,0,-0.0591302,1.98119,0,0,0,0,0.104819
0.974868,-28.4259,0.495135,0,0,0,-0.0591302,1.98119,0,0,0,0,0.104819
0.978819,-28.4259,0.495135,0,0,0,-0.0591302,1.98119,0,0,0,0,0.104819
0.982792,-28.4061,0.494066,0,0,0,-0.0581075,1.98133,0,0,0,0,0.1163
0.986746,-28.4061,0.494066,0,0,0,-0.0581075,1.98133,0,0,0,0,0.1163
0.991543,-28.3863,0.49304,0,0,0,-0.0568607,1.98155,0,0,0,0,0.115498
0.994801,-28.3863,0.49304,0,0,0,-0.0568607,1.98155,0,0,0,0,0.115498
0.998857,-28.3863,0.49304,0,0,0,-0.0568607,1.98155,0,0,0,0,0.115498
1.00306,-28.3666,0.492003,0,0,0,-0.0560469,1.98187,0,0,0,0,0.037157
1.00755,-28.3666,0.492003,0,0,0,-0.0560469,1.98187,0,0,0,0,0.037157
1.01191,-28.3468,0.490915,0,0,0,-0.0559699,1.98225,0,0,0,0,-0.000538084
1.01474,-28.3468,0.490915,0,0,0,-0.0559699,1.98225,0,0,0,0,-0.000538084
1.01885,-28.3468,0.490915,0,0,0,-0.0559699,1.98225,0,0,0,0,-0.000538084
1.02278,-28.327,0.489811,0,0,0,-0.0560475,1.98261,0,0,0,0,-0.0298078
1.02678,-28.327,0.489811,0,0,0,-0.0560475,1.98261,0,0,0,0,-0.0298078
1.03255,-28.3072,0.488668,0,0,0,-0.0564856,1.98296,0,0,0,0,-0.0392931
1.03493,-28.3072,0.488668,0,0,0,-0.0564856,1.98296,0,0,0,0,-0.0392931
1.04049,-28.3072,0.488668,0,0,0,-0.0564856,1.98296,0,0,0,0,-0.0392931
1.04516,-28.2874,0.487518,0,0,0,-0.0568616,1.98325,0,0,0,0,-0.0523151
1.04694,-28.2874,0.487518,0,0,0,-0.0568616,1.98325,0,0,0,0,-0.0523151
1.05173,-28.2676,0.486335,0,0,0,-0.0574735,1.98349,0,0,0,0,-0.0524215
1.05471,-28.2676,0.486335,0,0,0,-0.0574735,1.98349,0,0,0,0,-0.0524215
1.05884,-28.2676,0.486335,0,0,0,-0.0574735,1.98349,0,0,0,0,-0.0524215
1.06274,-28.2478,0.48515,0,0,0,-0.057951,1.98367,0,0,0,0,-0.0600179
1.06691,-28.2478,0.48515,0,0,0,-0.057951,1.98367,0,0,0,0,-0.0600179
1.07456,-28.228,0.483935,0,0,0,-0.0586227,1.98381,0,0,0,0,-0.0569703
1.07883,-28.228,0.483935,0,0,0,-0.0586227,1.98381,0,0,0,0,-0.0569703
1.08277,-28.2082,0.48272,0,0,0,-0.0591357,1.98389,0,0,0,0,-0.0627306
1.08681,-28.2082,0.48272,0,0,0,-0.0591357,1.98389,0,0,0,0,-0.0627306
1.09146,-28.1884,0.481477,0,0,0,-0.0598286,1.98392,0,0,0,0,-0.0586021
1.09486,-28.1884,0.481477,0,0,0,-0.0598286,1.98392,0,0,0,0,-0.0586021
1.09889,-28.1884,0.481477,0,0,0,-0.0598286,1.98392,0,0,0,0,-0.0586021
1.10292,-28.1686,0.480234,0,0,0,-0.0603544,1.98382,0,0,0,0,-0.0637334
1.10666,-28.1686,0.480234,0,0,0,-0.0603544,1.98382,0,0,0,0,-0.0637334
1.11223,-28.1488,0.478964,0,0,0,-0.0610555,1.98342,0,0,0,0,-0.0592282
